id,name,category,description,palette,bg_treatment,border_treatment,shadow_treatment,typography_treatment,animation_treatment,best_for,avoid_for
12,Aurora,modern,Soft flowing gradients mimicking northern lights.,gradient-startup,aurora-gradient,none,soft-glow,light-sans,gentle-float,"wellness;premium;creative","enterprise;data-dense;government"
13,Dark Futuristic,dark,Neon accents on near-black backgrounds.,ai-futuristic,dark-black,glow-border,neon-glow,technical-mono,neon-pulse,"ai;devtools;gaming;crypto","healthcare;education;government;kids"
14,Dark Elegant,dark,Rich dark backgrounds with gold or warm accents.,ai-futuristic,dark-charcoal,gold-accent,warm-glow,serif-elegant,smooth-reveal,"luxury;finance;premium;entertainment","kids;education;playful"
15,Cyberpunk,dark,High-contrast neon on dark with glitch effects.,ai-futuristic,dark-purple,neon-border,neon-glow,mono-bold,glitch-effect,"gaming;crypto;entertainment","healthcare;enterprise;government;education"
16,Dark Mode Native,dark,System dark mode with muted surfaces and high contrast text.,ai-futuristic,dark-surface,subtle-dark,dark-elevation,system-sans,system-motion,"devtools;dashboards;apps","marketing;landing-pages"
17,Brutalist Bold,expressive,Raw typography with stark contrast and no decoration.,bold-lifestyle,stark-white,thick-black,none,uppercase-impact,none,"fashion;editorial;agencies;portfolios","enterprise;healthcare;finance"
18,Neo-Brutalism,expressive,Bold colors with thick borders and offset shadows.,bold-lifestyle,bright-accent,thick-black,offset-hard,bold-mono,bouncy,"creative;portfolios;indie","enterprise;healthcare;finance;legal"
19,Maximalism,expressive,Rich layers of pattern texture and color.,bold-lifestyle,layered-rich,decorative,dramatic,mixed-display,dramatic-entrance,"fashion;entertainment;events","minimal;data;enterprise"
20,Memphis Design,expressive,Geometric shapes with bold colors and patterns.,illustration,playful-geo,thick-rounded,none,bold-display,playful-bounce,"kids;education;creative","enterprise;finance;legal;healthcare"
21,Bauhaus,expressive,Primary colors and geometric forms.,bold-lifestyle,primary-blocks,geometric,none,geometric-sans,geometric-motion,"art;design;education;portfolios","enterprise;healthcare;finance"
22,Art Deco,expressive,Luxurious geometric patterns with gold accents.,minimal-corporate,dark-gold,gold-geometric,warm-glow,display-serif,elegant-reveal,"luxury;hotels;events;entertainment","tech;startup;casual"
23,Organic Shapes,nature,Fluid shapes with natural curves.,illustration,warm-organic,rounded-blob,soft-sm,rounded-sans,fluid-morph,"wellness;food;beauty;kids","data-dense;enterprise;finance"
24,Nature Inspired,nature,Earth tones with natural textures.,illustration,earthy-warm,thin-warm,none,warm-serif,gentle-fade,"wellness;outdoor;food;agriculture","tech;gaming;finance"
25,Watercolor,nature,Soft watercolor textures and bleeding edges.,illustration,watercolor-wash,none,none,handwritten-accent,fade-in,"weddings;art;invitations;creative","enterprise;tech;data"
26,Paper Cut,nature,Layered paper effect with subtle shadows.,illustration,paper-texture,cut-edge,paper-shadow,friendly-sans,slide-reveal,"education;kids;crafts;creative","enterprise;finance;data-dense"
27,Corporate Conservative,formal,Traditional business aesthetic. Navy and gray palette.,corporate,neutral-gray,solid-border,conservative-sm,serif-body,minimal-fade,"enterprise;finance;insurance;government;legal","creative;gaming;entertainment;startups"
28,Corporate Modern,formal,Updated corporate with clean lines and subtle accents.,corporate,cool-white,subtle-gray,clean-md,sans-professional,smooth-transition,"enterprise;saas;consulting;legal","gaming;entertainment;kids"
29,Editorial Minimal,formal,Magazine-inspired layouts with strong typographic hierarchy.,minimal-corporate,warm-white,thin-rule,none,serif-display,content-reveal,"publishing;news;blogs;portfolios","data-dense;gaming;kids"
30,Legal Document,formal,Document-first design with strict hierarchy.,corporate,pure-white,rule-based,none,serif-formal,none,"legal;government;compliance;contracts","creative;gaming;entertainment"
31,Data Dense,analytical,Maximum information density with clear hierarchy.,dashboard,cool-gray,thin-grid,tight-sm,mono-data,none,"dashboards;analytics;admin;operations","marketing;fashion;creative"
32,Dashboard Modern,analytical,Clean data visualization with card-based layout.,dashboard,light-gray,card-border,card-md,sans-data,card-entrance,"dashboards;analytics;saas;admin","marketing;fashion;portfolios"
33,Chart Focused,analytical,Optimized for data visualization and charts.,dashboard,white-grid,axis-lines,none,tabular-mono,chart-animate,"analytics;reports;financial;scientific","marketing;creative;editorial"
34,Terminal,analytical,Command-line inspired with green-on-black aesthetic.,ai-futuristic,black-bg,none,none,monospace-green,typewriter,"devtools;hacking;command-line","consumer;marketing;fashion"
35,Retro,vintage,1970s-80s inspired with warm colors and rounded forms.,illustration,warm-retro,thick-rounded,none,retro-display,slide-groovy,"creative;food;music;indie","enterprise;finance;healthcare"
36,Pixel Art,vintage,8-bit inspired with blocky elements and limited palette.,bold-lifestyle,pixel-grid,pixel-border,pixel-shadow,pixel-mono,pixel-pop,"gaming;indie;creative;nostalgia","enterprise;finance;healthcare;legal"
37,Vintage Typography,vintage,Old-world type with decorative flourishes.,minimal-corporate,parchment,ornamental,none,vintage-serif,fade-antique,"restaurants;whiskey;barber;craft","tech;gaming;startup;crypto"
38,Steampunk,vintage,Victorian-industrial with brass and gear motifs.,bold-lifestyle,dark-brass,riveted,industrial-glow,industrial-serif,mechanical,"gaming;themed;entertainment","enterprise;healthcare;saas"
39,Vaporwave,vintage,Retro-futuristic with pastel neon and 80s aesthetics.,gradient-startup,pink-purple,neon-thin,neon-glow,retro-digital,wave-float,"music;creative;entertainment","enterprise;healthcare;finance"
40,Illustration Forward,illustrated,Hand-drawn illustrations as primary visual element.,illustration,white-illustrated,hand-drawn,none,friendly-round,hand-draw-reveal,"education;kids;creative;nonprofit","enterprise;finance;data-dense"
41,3D Rendered,modern,Three-dimensional elements and depth effects.,gradient-startup,3d-gradient,none,3d-shadow,bold-modern,3d-rotate,"tech;marketing;gaming;creative","accessibility;enterprise;government"
42,Isometric,illustrated,2.5D isometric illustrations and graphics.,illustration,isometric-grid,none,isometric-shadow,geometric-sans,isometric-build,"tech;education;infographics;marketing","enterprise;fashion;editorial"
43,Comic Book,illustrated,Bold outlines halftone dots and speech bubbles.,bold-lifestyle,halftone-bg,bold-outline,pop-shadow,comic-display,pow-entrance,"entertainment;kids;gaming;creative","enterprise;finance;healthcare"
44,Sketch Style,illustrated,Hand-drawn sketch aesthetic with notebook feel.,illustration,notebook-bg,pencil-line,none,handwritten-body,sketch-appear,"education;creative;personal;blogs","enterprise;finance;legal"
45,Monochrome,minimal,Single color with varying tones and saturation.,minimal-corporate,mono-base,mono-border,mono-shadow,mono-sans,subtle-fade,"portfolios;photography;editorial","data-dense;dashboards;kids"
46,High Contrast,accessibility,Maximum contrast for readability and accessibility.,minimal-saas,black-white,high-contrast,sharp-shadow,large-sans,instant-transition,"accessibility;government;legal;healthcare","fashion;creative;entertainment"
47,Large Print,accessibility,Oversized typography for readability.,minimal-saas,white-clean,clear-border,none,xl-sans,none,"accessibility;senior-focused;government","compact-ui;dashboards;data"
48,Neon Glow,dark,Bright neon colors with glow effects on dark.,ai-futuristic,black-neon,neon-glow-border,neon-bloom,neon-sans,pulse-glow,"nightlife;gaming;music;entertainment","enterprise;healthcare;education;government"
49,Pastel Soft,friendly,Soft pastel color palette with rounded elements.,illustration,pastel-bg,rounded-light,soft-sm,rounded-friendly,gentle-bounce,"kids;education;wellness;lifestyle","enterprise;finance;legal;data-dense"
50,Duotone,modern,Two-tone color treatment applied to images and UI.,gradient-startup,duotone-bg,none,color-shadow,bold-sans,color-shift,"creative;music;portfolios;marketing","data-dense;enterprise;healthcare"
51,Split Screen,layout,Bold division of screen into contrasting halves.,bold-lifestyle,split-contrast,center-divider,none,bold-display,split-reveal,"portfolios;agencies;fashion;comparison","data-dense;dashboards;forms"
52,Card Based,layout,Content organized in discrete card containers.,minimal-saas,card-grid-bg,card-border,card-elevation,card-sans,card-stagger,"dashboards;ecommerce;social;portfolios","text-heavy;editorial;documents"
53,Magazine Layout,layout,Multi-column editorial layouts with varied sizing.,minimal-corporate,editorial-white,thin-column-rule,none,editorial-serif,content-cascade,"news;blogs;editorial;publishing","apps;dashboards;data-dense"
54,Parallax Scroll,motion,Multi-layer scrolling with depth effects.,gradient-startup,layered-bg,none,depth-shadow,bold-modern,parallax-depth,"landing-pages;storytelling;marketing","accessibility;enterprise;data"
55,Scroll Storytelling,motion,Narrative-driven design with scroll-triggered animations.,gradient-startup,section-gradient,none,none,storytelling-serif,scroll-trigger,"landing-pages;brand-stories;nonprofits","dashboards;apps;data"
56,Micro-interaction Rich,motion,Extensive hover states and feedback animations.,minimal-saas,interactive-bg,responsive-border,hover-elevation,interaction-sans,micro-reactions,"saas;apps;consumer-tech","accessibility;low-bandwidth;enterprise"
57,Kinetic Typography,motion,Moving text as the primary design element.,bold-lifestyle,dark-canvas,none,none,kinetic-display,text-motion,"creative;agencies;events;portfolios","data;enterprise;accessibility"
58,Clay Morphism,modern,3D clay-like objects with soft shadows and warm colors.,illustration,warm-clay,none,clay-shadow,rounded-sans,soft-bounce,"consumer;education;wellness;lifestyle","enterprise;finance;data-dense"
59,Bento Grid,layout,Asymmetric grid inspired by bento box layouts.,apple-minimal,clean-white,thin-grid,subtle-md,modern-sans,grid-stagger,"tech;portfolios;landing-pages;saas","text-heavy;editorial;data-tables"
60,Frosted Glass,modern,Translucent panels with blur over colorful backgrounds.,gradient-startup,blurred-bg,glass-border,glass-glow,light-sans,glass-fade,"landing-pages;apps;fintech;creative","accessibility;enterprise;data-heavy"
61,Eco Organic,nature,Earth-toned organic shapes with sustainable visual language.,illustration,earthy-warm,rounded-soft,soft-sm,rounded-sans,gentle-fade,"sustainability;agritech;cleantech;wellness","gaming;nightlife;corporate;data-dense"
62,Regulatory Formal,formal,Conservative document-first design with strict information hierarchy.,corporate,neutral-gray,solid-border,conservative-sm,serif-formal,minimal-fade,"regtech;govtech;insurtech;legaltech;compliance","creative;gaming;entertainment;fashion"
63,Precision Industrial,analytical,High-density data layouts with engineering-grade precision.,corporate,cool-white,thin-grid,clean-md,sans-professional,smooth-transition,"automotive;spacetech;cleantech;manufacturing","fashion;kids;entertainment;creative"
64,Premium Lifestyle,premium,Refined luxury aesthetic with smooth transitions and muted tones.,apple-minimal,pure-white,none,smooth-lg,sf-pro-style,smooth-spring,"fashiontech;luxury;premium;lifestyle","data-dense;enterprise;industrial"
65,Sports Dynamic,expressive,High-energy bold typography with dynamic motion and contrast.,bold-lifestyle,stark-white,thick-black,offset-hard,uppercase-impact,bouncy,"sporttech;fitness;gaming;entertainment","enterprise;healthcare;finance;legal"
66,Vibrant Creative,modern,Colorful gradients with playful interactions and bold accents.,gradient-startup,gradient-hero,none,glow-lg,bold-sans,dynamic-entrance,"musictech;foodtech;startups;creative","enterprise;healthcare;government;legal"
67,Warm Companion,illustrated,Soft illustrated warmth with rounded elements for pet and family contexts.,illustration,warm-illustrated,rounded-soft,soft-sm,friendly-round,gentle-bounce,"pettech;kids;family;nonprofit","enterprise;finance;data-dense"
68,PropTech Clean,formal,Modern professional aesthetic with warm editorial touches.,minimal-corporate,warm-white,thin-rule,none,serif-display,content-reveal,"proptech;real-estate;professional-services","gaming;kids;entertainment"
69,Mission Control,dark,Technical dark interface with high-contrast data visualization.,ai-futuristic,dark-black,glow-border,neon-glow,technical-mono,neon-pulse,"spacetech;cleantech;ai;devtools","healthcare;kids;education;playful"
