id,name,library,license,style,sizes,tree_shakeable,default_color,best_for,url
21,Lucide Mail,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Email;Messages;Contact links","https://lucide.dev/icons/mail"
22,Lucide Calendar,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Date pickers;Events;Scheduling","https://lucide.dev/icons/calendar"
23,Lucide Heart,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Favorites;Likes;Wishlists","https://lucide.dev/icons/heart"
24,Lucide Star,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Ratings;Reviews;Favorites","https://lucide.dev/icons/star"
25,Lucide ShoppingCart,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Ecommerce;Cart;Checkout","https://lucide.dev/icons/shopping-cart"
26,Lucide Plus,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Add actions;Create new;Expand","https://lucide.dev/icons/plus"
27,Lucide Trash,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Delete actions;Remove items;Clear","https://lucide.dev/icons/trash-2"
28,Lucide Edit,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Edit actions;Modify content;Pencil","https://lucide.dev/icons/pencil"
29,Lucide Download,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Download files;Export;Save locally","https://lucide.dev/icons/download"
30,Lucide Upload,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Upload files;Import;File input","https://lucide.dev/icons/upload"
31,Lucide ChevronDown,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Dropdowns;Expand;Accordion toggles","https://lucide.dev/icons/chevron-down"
32,Lucide ChevronRight,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Navigation;Breadcrumbs;Next actions","https://lucide.dev/icons/chevron-right"
33,Lucide X,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Close modals;Dismiss;Cancel","https://lucide.dev/icons/x"
34,Lucide Check,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Success states;Checkboxes;Confirmation","https://lucide.dev/icons/check"
35,Lucide Eye,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Show password;Preview;Visibility toggle","https://lucide.dev/icons/eye"
36,Lucide EyeOff,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Hide password;Privacy;Visibility toggle","https://lucide.dev/icons/eye-off"
37,Lucide Filter,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Filter controls;Sorting;Refinement","https://lucide.dev/icons/filter"
38,Lucide ArrowLeft,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Back navigation;Return;Previous","https://lucide.dev/icons/arrow-left"
39,Lucide MoreHorizontal,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Overflow menus;More actions;Ellipsis","https://lucide.dev/icons/more-horizontal"
40,Lucide Menu,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Hamburger menu;Mobile nav;Sidebar toggle","https://lucide.dev/icons/menu"
41,Lucide Globe,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Language selector;Website links;International","https://lucide.dev/icons/globe"
42,Lucide Lock,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Security;Authentication;Private content","https://lucide.dev/icons/lock"
43,Lucide CreditCard,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Payments;Billing;Checkout","https://lucide.dev/icons/credit-card"
44,Lucide BarChart,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Analytics;Charts;Data visualization","https://lucide.dev/icons/bar-chart-3"
45,Lucide Clock,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Time;Scheduling;History;Recent","https://lucide.dev/icons/clock"
46,Phosphor House,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Navigation;Homepage;Dashboard home","https://phosphoricons.com"
47,Phosphor MagnifyingGlass,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Search;Discovery;Find functionality","https://phosphoricons.com"
48,Phosphor Gear,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Settings;Configuration;Admin panels","https://phosphoricons.com"
49,Phosphor UserCircle,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"User profiles;Account;Avatar placeholder","https://phosphoricons.com"
50,Phosphor BellSimple,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Notifications;Alerts;Activity feed","https://phosphoricons.com"
51,Phosphor Envelope,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Email;Messages;Inbox;Contact","https://phosphoricons.com"
52,Phosphor CalendarBlank,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Date pickers;Calendar views;Events","https://phosphoricons.com"
53,Phosphor Heart,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Favorites;Likes;Wishlist actions","https://phosphoricons.com"
54,Phosphor ShoppingCartSimple,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Ecommerce cart;Add to cart;Checkout","https://phosphoricons.com"
55,Phosphor Plus,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Create;Add new;Expand sections","https://phosphoricons.com"
56,Phosphor TrashSimple,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Delete;Remove;Clear actions","https://phosphoricons.com"
57,Phosphor PencilSimple,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Edit;Modify;Rename;Update","https://phosphoricons.com"
58,Phosphor DownloadSimple,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Download;Export;Save files","https://phosphoricons.com"
59,Phosphor UploadSimple,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Upload;Import;File attachment","https://phosphoricons.com"
60,Phosphor CaretDown,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Dropdown indicators;Expand;Select menus","https://phosphoricons.com"
61,Phosphor X,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Close;Dismiss;Cancel dialogs","https://phosphoricons.com"
62,Phosphor Check,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Confirm;Success;Complete checkboxes","https://phosphoricons.com"
63,Phosphor Eye,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"View;Preview;Show content","https://phosphoricons.com"
64,Phosphor FunnelSimple,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Filters;Sort;Refine results","https://phosphoricons.com"
65,Phosphor ArrowLeft,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Back navigation;Previous;Return","https://phosphoricons.com"
66,Heroicons Home,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Navigation;Home links;Dashboard","https://heroicons.com"
67,Heroicons MagnifyingGlass,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Search;Find;Lookup","https://heroicons.com"
68,Heroicons Cog6Tooth,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Settings;Configuration;Preferences","https://heroicons.com"
69,Heroicons UserCircle,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"User profile;Account;Auth","https://heroicons.com"
70,Heroicons BellAlert,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Notifications;Alerts;Updates","https://heroicons.com"
71,Heroicons Envelope,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Email;Messages;Contact","https://heroicons.com"
72,Heroicons CalendarDays,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Calendar;Scheduling;Events","https://heroicons.com"
73,Heroicons Heart,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Favorites;Likes;Wishlist","https://heroicons.com"
74,Heroicons ShoppingBag,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Shopping;Cart;Products","https://heroicons.com"
75,Heroicons PlusCircle,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Add;Create;New item","https://heroicons.com"
76,Heroicons TrashIcon,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Delete;Remove;Clear","https://heroicons.com"
77,Heroicons PencilSquare,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Edit;Modify;Update","https://heroicons.com"
78,Heroicons ArrowDownTray,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Download;Export;Save","https://heroicons.com"
79,Heroicons FunnelIcon,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Filter;Sort;Refine","https://heroicons.com"
80,Heroicons Bars3,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Menu;Hamburger;Mobile nav","https://heroicons.com"
81,Radix Icons,radix-icons,MIT,line,"15",yes,currentColor,"Radix UI;React;Headless components;Design systems","https://icons.radix-ui.com"
82,Radix Cross,radix-icons,MIT,line,"15",yes,currentColor,"Close;Dismiss;Cancel;Dialog close","https://icons.radix-ui.com"
83,Radix ChevronDown,radix-icons,MIT,line,"15",yes,currentColor,"Dropdown;Select;Accordion;Collapsible","https://icons.radix-ui.com"
84,Radix Check,radix-icons,MIT,line,"15",yes,currentColor,"Checkbox;Confirmation;Success indicator","https://icons.radix-ui.com"
85,Radix MagnifyingGlass,radix-icons,MIT,line,"15",yes,currentColor,"Search;Filter;Command palette","https://icons.radix-ui.com"
86,Iconoir Library,iconoir,MIT,line,"24",yes,currentColor,"Minimal European design;Clean UI;Modern apps","https://iconoir.com"
87,Iconoir Home,iconoir,MIT,line,"24",yes,currentColor,"Navigation;Home;Dashboard root","https://iconoir.com"
88,Iconoir Search,iconoir,MIT,line,"24",yes,currentColor,"Search;Discovery;Find features","https://iconoir.com"
89,Iconoir Settings,iconoir,MIT,line,"24",yes,currentColor,"Configuration;Preferences;Admin","https://iconoir.com"
90,Feather Home,feather-icons,MIT,line,"24",yes,currentColor,"Home navigation;Root page;Dashboard","https://feathericons.com"
91,Feather Search,feather-icons,MIT,line,"24",yes,currentColor,"Search bars;Find;Filter triggers","https://feathericons.com"
92,Feather Settings,feather-icons,MIT,line,"24",yes,currentColor,"Settings;Configuration;Gear icon","https://feathericons.com"
93,Feather User,feather-icons,MIT,line,"24",yes,currentColor,"Profile;Account;User avatar","https://feathericons.com"
94,Material Home,material-symbols,Apache-2.0,"outlined;rounded;sharp","20;24;40;48",yes,currentColor,"Material Design home;Android navigation","https://fonts.google.com/icons"
95,Material Search,material-symbols,Apache-2.0,"outlined;rounded;sharp","20;24;40;48",yes,currentColor,"Material Design search;Google-style apps","https://fonts.google.com/icons"
96,Material Settings,material-symbols,Apache-2.0,"outlined;rounded;sharp","20;24;40;48",yes,currentColor,"Material Design settings;Android preferences","https://fonts.google.com/icons"
97,Bootstrap Home,bootstrap-icons,MIT,outline+filled,"16;20;24;32",yes,currentColor,"Bootstrap projects;Home navigation","https://icons.getbootstrap.com"
98,Bootstrap Search,bootstrap-icons,MIT,outline+filled,"16;20;24;32",yes,currentColor,"Bootstrap search;Find functionality","https://icons.getbootstrap.com"
99,Bootstrap Gear,bootstrap-icons,MIT,outline+filled,"16;20;24;32",yes,currentColor,"Bootstrap settings;Configuration","https://icons.getbootstrap.com"
100,Remix Home,remixicon,Apache-2.0,line+fill,"16;20;24",yes,currentColor,"General purpose home;Modern UI navigation","https://remixicon.com"
101,Remix Search,remixicon,Apache-2.0,line+fill,"16;20;24",yes,currentColor,"General search;Discovery;Find","https://remixicon.com"
102,Solar Icons,solar-icons,MIT,line+bold+broken,"24",yes,currentColor,"Modern UI;Design systems;SaaS products;Clean aesthetic","https://www.figma.com/community/file/1166831539721848736"
103,react-icons,react-icons,MIT,"varies-by-set","varies",yes,currentColor,"React projects;Aggregated icon library;Multi-library access","https://react-icons.github.io/react-icons"
104,unplugin-icons,unplugin-icons,MIT,"varies-by-set","varies",yes,currentColor,"Vue;Svelte;React;Framework-agnostic icon loading","https://github.com/unplugin/unplugin-icons"
105,svelte-icons-pack,svelte-icons-pack,MIT,"varies-by-set","varies",yes,currentColor,"Svelte projects;Icon component wrappers;SSR-compatible","https://github.com/nicholasgasior/svelte-icons-pack"
106,Ionicons,ionicons,MIT,outline+filled+sharp,"16;20;24;32;48;64",yes,currentColor,"Ionic Framework;Mobile apps;Cross-platform UI","https://ionic.io/ionicons"
107,Material Design Icons,mdi,Apache-2.0,filled,"24",yes,currentColor,"Material Design;Community icons;Comprehensive coverage","https://pictogrammers.com/library/mdi"
108,Octicons,octicons,MIT,filled,"12;16;24",yes,currentColor,"GitHub;Developer tools;Code platforms;Git UIs","https://primer.style/octicons"
109,Eva Icons,eva-icons,MIT,outline+fill,"24",yes,currentColor,"Clean UI;Mobile apps;Modern design","https://akveo.github.io/eva-icons"
110,Boxicons,boxicons,MIT,"regular;solid;logos","24",yes,currentColor,"General purpose;Logos;Web applications","https://boxicons.com"
111,Unicons,unicons,Apache-2.0,"line;solid;monochrome;thinline","24;32",yes,currentColor,"Modern web;SaaS;Versatile UI","https://iconscout.com/unicons"
112,Ant Design Icons,ant-design-icons,MIT,outline+filled+twotone,"16;20;24;32;48",yes,currentColor,"Ant Design;Enterprise;Admin panels;React","https://ant.design/components/icon"
113,css.gg,css.gg,MIT,line,"24",yes,currentColor,"Pure CSS icons;Minimal;Lightweight;No JS","https://css.gg"
114,Majesticons,majesticons,MIT,line+solid,"24",yes,currentColor,"Clean;Modern;General purpose;SaaS","https://www.majesticons.com"
115,Lordicon,lordicon,Custom-Free+Premium,animated,"24;32;48;64;96;128",no,currentColor,"Animated UI;Onboarding;Interactive feedback","https://lordicon.com"
116,Motion Icons,motion-icons,MIT,animated,"24;32;48",no,currentColor,"Micro-animations;Loading states;Transitions","https://github.com/nicholasgasior/svelte-icons-pack"
117,Chakra UI Icons,chakra-ui-icons,MIT,line,"16;20;24",yes,currentColor,"Chakra UI;React;Component libraries","https://chakra-ui.com/docs/components/icon"
118,MUI Icons,mui-icons-material,MIT,"outlined;filled;rounded;sharp;two-tone","20;24;36;48",yes,currentColor,"Material UI;React;Enterprise apps","https://mui.com/material-ui/material-icons"
119,Mantine Icons,tabler-icons,MIT,line,"24",yes,currentColor,"Mantine UI;React;Admin dashboards","https://tabler-icons.io"
120,Accessible Icon Project,accessible-icon,CC-BY-4.0,filled,"24;32;48",no,currentColor,"Accessibility;Inclusive design;Disability representation","https://accessibleicon.org"
121,Health Icons,healthicons,MIT,outline+filled,"24;48",yes,currentColor,"Healthcare;Medical apps;Public health;Clinical","https://healthicons.org"
122,Country Flag Icons,country-flag-icons,MIT,flag,"16;24;32;48",no,native,"Country flags;International;Language pickers;Localization","https://catamphetamine.gitlab.io/country-flag-icons"
123,Circle Flags,circle-flags,MIT,flag,"24;32;48;64",no,native,"Rounded flags;Language selectors;International apps","https://hatscripts.github.io/circle-flags"
124,Heroicons Micro,heroicons,MIT,micro,"16",yes,currentColor,"Small UI elements;Compact buttons;Badges","https://heroicons.com"
125,Phosphor Airplane,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Travel;Flights;Aviation;Transportation","https://phosphoricons.com"
126,Phosphor ChartBar,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Analytics;Dashboard charts;Data visualization","https://phosphoricons.com"
127,Phosphor Cloud,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Cloud services;Upload;Storage;Weather","https://phosphoricons.com"
128,Phosphor CreditCard,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Payments;Billing;Fintech;Checkout","https://phosphoricons.com"
129,Phosphor Database,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Database;Storage;Backend;Data management","https://phosphoricons.com"
130,Phosphor FileText,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Documents;Files;Content;Text editing","https://phosphoricons.com"
131,Phosphor Globe,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"International;Website;Language selector;Global","https://phosphoricons.com"
132,Phosphor Lightning,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Fast;Performance;Energy;Power","https://phosphoricons.com"
133,Phosphor Lock,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Security;Authentication;Privacy;Locked content","https://phosphoricons.com"
134,Phosphor MapPin,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Location;Maps;Address;Geolocation","https://phosphoricons.com"
135,Phosphor Palette,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Design;Theming;Color picker;Creative tools","https://phosphoricons.com"
136,Phosphor Robot,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"AI;Automation;Bots;Machine learning","https://phosphoricons.com"
137,Phosphor Shield,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Security;Protection;Trust badges;Privacy","https://phosphoricons.com"
138,Phosphor Wallet,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Finance;Crypto wallets;Payments;Banking","https://phosphoricons.com"
139,Lucide AlertTriangle,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Warnings;Error states;Caution alerts","https://lucide.dev/icons/alert-triangle"
140,Lucide Bookmark,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Bookmarks;Save for later;Collections","https://lucide.dev/icons/bookmark"
141,Lucide Camera,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Photography;Camera;Image capture;Upload photo","https://lucide.dev/icons/camera"
142,Lucide Code,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Code blocks;Developer features;Syntax;Embed","https://lucide.dev/icons/code"
143,Lucide Copy,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Copy to clipboard;Duplicate;Clone content","https://lucide.dev/icons/copy"
144,Lucide Database,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Database;Data storage;Backend features","https://lucide.dev/icons/database"
145,Lucide FileText,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Documents;Files;Text content;Articles","https://lucide.dev/icons/file-text"
146,Lucide Folder,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Folders;File management;Organization","https://lucide.dev/icons/folder"
147,Lucide Image,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Images;Media;Gallery;Photo placeholder","https://lucide.dev/icons/image"
148,Lucide Info,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Information;Help tooltips;Details;About","https://lucide.dev/icons/info"
149,Lucide Layers,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Layers;Stacking;Design tools;Hierarchy","https://lucide.dev/icons/layers"
150,Lucide Link,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Links;URLs;Hyperlinks;Share link","https://lucide.dev/icons/link"
151,Lucide Map,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Maps;Location;Navigation;Geography","https://lucide.dev/icons/map"
152,Lucide MessageSquare,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Chat;Comments;Messaging;Conversations","https://lucide.dev/icons/message-square"
153,Lucide Moon,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Dark mode toggle;Night theme;Theme switch","https://lucide.dev/icons/moon"
154,Lucide Sun,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Light mode toggle;Day theme;Brightness","https://lucide.dev/icons/sun"
155,Lucide Package,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Packages;Products;Shipping;Delivery","https://lucide.dev/icons/package"
156,Lucide Phone,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Phone;Call;Contact;Mobile","https://lucide.dev/icons/phone"
157,Lucide PieChart,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Analytics;Charts;Statistics;Reports","https://lucide.dev/icons/pie-chart"
158,Lucide Printer,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Print;Document printing;Physical output","https://lucide.dev/icons/printer"
159,Lucide RefreshCw,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Refresh;Reload;Sync;Update data","https://lucide.dev/icons/refresh-cw"
160,Lucide Send,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Send message;Submit;Share;Dispatch","https://lucide.dev/icons/send"
161,Lucide Share2,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Share;Social sharing;Distribution;Forwarding","https://lucide.dev/icons/share-2"
162,Lucide Shield,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Security;Trust;Verification;Protection","https://lucide.dev/icons/shield"
163,Lucide Sliders,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Settings;Adjustments;Controls;Fine-tuning","https://lucide.dev/icons/sliders"
164,Lucide Tag,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Tags;Labels;Categories;Pricing","https://lucide.dev/icons/tag"
165,Lucide Terminal,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Terminal;CLI;Command line;Developer tools","https://lucide.dev/icons/terminal"
166,Lucide ThumbsUp,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Like;Approve;Positive feedback;Reactions","https://lucide.dev/icons/thumbs-up"
167,Lucide Trash2,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Delete;Remove permanently;Clear all","https://lucide.dev/icons/trash-2"
168,Lucide TrendingUp,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Growth;Trending;Analytics;Positive metrics","https://lucide.dev/icons/trending-up"
169,Lucide Video,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Video;Camera;Recording;Meetings","https://lucide.dev/icons/video"
170,Lucide Wifi,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"WiFi;Connectivity;Internet;Network","https://lucide.dev/icons/wifi"
171,Lucide Zap,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Speed;Performance;Power;Lightning","https://lucide.dev/icons/zap"
172,Heroicons AcademicCap,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Education;Academic;Courses;Learning","https://heroicons.com"
173,Heroicons Bolt,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Speed;Performance;Energy;Quick actions","https://heroicons.com"
174,Heroicons BookOpen,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Documentation;Reading;Books;Knowledge base","https://heroicons.com"
175,Heroicons BuildingOffice,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Enterprise;Business;Office;Real estate","https://heroicons.com"
176,Heroicons ChatBubble,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Chat;Messaging;Support;Conversations","https://heroicons.com"
177,Heroicons CloudArrowUp,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Cloud upload;Deploy;Publish;Storage","https://heroicons.com"
178,Heroicons CurrencyDollar,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Pricing;Finance;Payments;Revenue","https://heroicons.com"
179,Heroicons DocumentText,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Documents;Text files;Reports;Content","https://heroicons.com"
180,Heroicons Fire,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Trending;Popular;Hot items;Activity","https://heroicons.com"
181,Heroicons GlobeAlt,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"International;Global;Website;Languages","https://heroicons.com"
182,Heroicons LockClosed,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Security;Auth;Private content;Locked","https://heroicons.com"
183,Heroicons MapPin,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Location;Address;Maps;Geolocation","https://heroicons.com"
184,Heroicons Photo,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Images;Gallery;Media;Photo upload","https://heroicons.com"
185,Heroicons RocketLaunch,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Launch;Deploy;Startup;Getting started","https://heroicons.com"
186,Heroicons Shield,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Security;Protection;Trust badges;Safety","https://heroicons.com"
