id,category,issue,keywords,platform,description,do,dont,severity
39,platform,iOS-specific patterns,ios;haptic;blur;sf-symbols;dynamic-island;live-activity,react-native,"iOS users expect platform-specific patterns like blur effects and haptic feedback","Use @react-native-community/blur and expo-haptics for iOS-native experiences","Don't ignore iOS conventions — users notice when apps feel non-native on their platform",high
40,platform,Android-specific patterns,android;material;ripple;back-handler;elevation;status-bar,react-native,"Android users expect Material Design patterns like ripple effects and proper elevation","Use Android ripple effect on Pressable and proper elevation for shadows","Don't use iOS-style shadows on Android — use elevation property for material design shadows",high
41,platform,Permissions,permission;camera;location;notification;microphone;gallery,react-native,"Permission requests without context have low grant rates and frustrate users","Request permissions in context with a pre-permission screen explaining why access is needed","Don't request all permissions at app launch — ask just-in-time when the feature is used",critical
42,platform,Notifications,notification;push;local;firebase;apns;badge;channel,react-native,"Push notifications require platform-specific setup and careful channel management","Use notifee or expo-notifications with Android channels and iOS categories configured","Don't send all notifications through a single channel — Android users manage channels individually",high
43,platform,Biometric auth,biometric;face-id;touch-id;fingerprint;keychain;secure,react-native,"Biometric auth needs fallback options and secure token storage in keychain","Use expo-local-authentication with keychain storage for tokens via expo-secure-store","Don't store auth tokens in AsyncStorage — use platform keychain via SecureStore or Keychain",critical
44,platform,Platform deep linking,deep-link;scheme;universal;app-link;intent;associated-domains,react-native,"Each platform has different deep linking mechanisms that must be configured separately","Configure associated domains for iOS and intent filters for Android in native config files","Don't rely only on custom URL schemes — universal and app links are more reliable",high
45,accessibility,accessibilityLabel,label;screen-reader;voiceover;talkback;description,react-native,"Icon buttons and images without labels are invisible to screen reader users","Add accessibilityLabel to all interactive elements and meaningful images","Don't use technical or implementation-detail labels like btn-1 — use descriptive human text",critical
46,accessibility,accessibilityRole,role;button;header;link;semantic;screen-reader,react-native,"Correct roles tell screen readers how to present and interact with elements","Set accessibilityRole to button header link image or adjustable as appropriate","Don't leave default role on interactive elements — screen readers announce them as generic text",high
47,accessibility,accessibilityState,state;disabled;selected;checked;expanded;busy,react-native,"Screen readers need state information to convey interactive element status","Set accessibilityState for disabled selected checked and expanded states","Don't rely on visual-only indicators for state — screen readers can't see color changes",high
48,accessibility,Focus management,focus;order;trap;navigation;screen-reader;tab,react-native,"Logical focus order ensures keyboard and screen reader navigation makes sense","Set accessibilityViewIsModal on modals and manage focus order with accessible prop","Don't let focus escape behind modals or jump to unexpected elements on screen change",critical
49,accessibility,Screen reader testing,testing;voiceover;talkback;audit;manual;automation,react-native,"Automated tools catch only 30% of accessibility issues — manual testing is essential","Test every screen with VoiceOver on iOS and TalkBack on Android before release","Don't skip screen reader testing — automated accessibility checks miss navigation flow issues",critical
50,accessibility,Dynamic type support,dynamic-type;font-scaling;accessibility;text-size;allowFontScaling,react-native,"Users who set large text sizes in system settings expect apps to respect that preference","Allow font scaling by default and test layouts at 200% text size for overflow issues","Don't set allowFontScaling false globally — it breaks accessibility for users who need larger text",high
