id,name,category,weights,style,mood,best_for,variable,url
43,Commissioner,sans-serif,"100;200;300;400;500;600;700;800;900",variable-versatile,"versatile;variable;professional","General purpose;Content;Product UI",yes,"https://fonts.google.com/specimen/Commissioner"
44,Epilogue,sans-serif,"100;200;300;400;500;600;700;800;900",modern-editorial,"editorial;modern;bold","Editorial;Agencies;Marketing",yes,"https://fonts.google.com/specimen/Epilogue"
45,Cormorant Garamond,serif,"300;400;500;600;700",elegant-classic,"elegant;classic;refined","Luxury;Weddings;Wine;High-end",yes,"https://fonts.google.com/specimen/Cormorant+Garamond"
46,Spectral,serif,"200;300;400;500;600;700;800",scientific-readable,"scientific;readable;scholarly","Research;Academic;Scientific publishing",yes,"https://fonts.google.com/specimen/Spectral"
47,Vollkorn,serif,"400;500;600;700;800;900",warm-literary,"warm;literary;readable","Books;Poetry;Artisanal brands",yes,"https://fonts.google.com/specimen/Vollkorn"
48,Newsreader,serif,"200;300;400;500;600;700;800",digital-editorial,"editorial;news;digital","News websites;Magazines;Digital editorial",yes,"https://fonts.google.com/specimen/Newsreader"
49,Comfortaa,sans-serif,"300;400;500;600;700",ultra-rounded,"ultra-rounded;playful;soft","Kids;Playful;Consumer;Casual",yes,"https://fonts.google.com/specimen/Comfortaa"
50,Cabin,sans-serif,"400;500;600;700",humanist-natural,"humanist;natural;warm","Outdoor;Wellness;Natural brands",yes,"https://fonts.google.com/specimen/Cabin"
51,Geist,sans-serif,"100;200;300;400;500;600;700;800;900",vercel-modern,"modern;clean;developer","Next.js;Vercel;Developer tools;SaaS",yes,"https://fonts.google.com/specimen/Geist"
52,Geist Mono,monospace,"100;200;300;400;500;600;700;800;900",developer-mono,"developer;precise;modern","Code blocks;Terminals;Developer tools",yes,"https://fonts.google.com/specimen/Geist+Mono"
53,Instrument Sans,sans-serif,"400;500;600;700",precision-neutral,"precise;neutral;professional","Fintech;Dashboards;Professional apps",yes,"https://fonts.google.com/specimen/Instrument+Sans"
54,Instrument Serif,serif,"400",precision-serif,"precise;elegant;editorial","Headlines;Editorial;Luxury branding",no,"https://fonts.google.com/specimen/Instrument+Serif"
55,General Sans,sans-serif,"200;300;400;500;600;700",versatile-modern,"versatile;modern;clean","Portfolios;Agencies;SaaS;Marketing",yes,"https://fonts.google.com/specimen/General+Sans"
56,Satoshi,sans-serif,"300;400;500;600;700;800;900",modern-neutral,"modern;neutral;geometric","Portfolios;Minimal sites;SaaS products",yes,"https://fonts.google.com/specimen/Satoshi"
57,Cabinet Grotesk,sans-serif,"400;500;600;700;800;900",refined-grotesk,"refined;geometric;premium","Fashion;Luxury;Premium branding",yes,"https://fonts.google.com/specimen/Cabinet+Grotesk"
58,Clash Display,display,"200;300;400;500;600;700",contemporary-display,"bold;contemporary;distinctive","Agency sites;Fashion;Tech landing pages",yes,"https://fonts.google.com/specimen/Clash+Display"
59,Switzer,sans-serif,"100;200;300;400;500;600;700;800;900",swiss-neutral,"swiss;neutral;professional","Corporate;Finance;Legal;Professional",yes,"https://fonts.google.com/specimen/Switzer"
60,Nunito Sans,sans-serif,"200;300;400;500;600;700;800;900",friendly-neutral,"friendly;neutral;readable","Consumer apps;Education;Wellness",yes,"https://fonts.google.com/specimen/Nunito+Sans"
61,Jost,sans-serif,"100;200;300;400;500;600;700;800;900",bauhaus-geometric,"geometric;bauhaus;modernist","Art;Design;Architecture;Modern brands",yes,"https://fonts.google.com/specimen/Jost"
62,Karla,sans-serif,"200;300;400;500;600;700;800",grotesk-warm,"warm;grotesk;friendly","Blogs;Consumer apps;Startup body text",yes,"https://fonts.google.com/specimen/Karla"
63,Lato,sans-serif,"100;300;400;700;900",warm-stable,"warm;stable;readable","Corporate sites;Body text;Business",no,"https://fonts.google.com/specimen/Lato"
64,Open Sans,sans-serif,"300;400;500;600;700;800",readable-universal,"readable;universal;neutral","Government;Body text;Enterprise",yes,"https://fonts.google.com/specimen/Open+Sans"
65,Source Sans 3,sans-serif,"200;300;400;500;600;700;800;900",adobe-readable,"readable;professional;clean","Enterprise;Government;Documentation",yes,"https://fonts.google.com/specimen/Source+Sans+3"
66,Roboto,sans-serif,"100;300;400;500;700;900",material-standard,"material;standard;readable","Android;Material Design;Google apps",yes,"https://fonts.google.com/specimen/Roboto"
67,Roboto Flex,sans-serif,"100;200;300;400;500;600;700;800;900",ultra-variable,"variable;flexible;modern","Responsive typography;Variable font demos",yes,"https://fonts.google.com/specimen/Roboto+Flex"
68,Roboto Slab,serif,"100;200;300;400;500;600;700;800;900",slab-modern,"slab;modern;sturdy","Headlines;Marketing;Content sites",yes,"https://fonts.google.com/specimen/Roboto+Slab"
69,Roboto Condensed,sans-serif,"100;200;300;400;500;600;700;800;900",condensed-efficient,"condensed;efficient;space-saving","Data tables;Dashboards;Space-constrained UI",yes,"https://fonts.google.com/specimen/Roboto+Condensed"
70,Fira Code,monospace,"300;400;500;600;700",ligature-code,"ligatures;code;developer","Code editors;IDE themes;Developer docs",yes,"https://fonts.google.com/specimen/Fira+Code"
71,Cascadia Code,monospace,"200;300;400;500;600;700",microsoft-code,"microsoft;code;ligatures","VS Code;Windows Terminal;Microsoft tools",yes,"https://fonts.google.com/specimen/Cascadia+Code"
72,Source Code Pro,monospace,"200;300;400;500;600;700;800;900",adobe-code,"clean;code;readable","Code blocks;Terminal emulators;Developer docs",yes,"https://fonts.google.com/specimen/Source+Code+Pro"
73,Inconsolata,monospace,"200;300;400;500;600;700;800;900",classic-code,"classic;readable;clean","Code display;Terminal;Technical docs",yes,"https://fonts.google.com/specimen/Inconsolata"
74,Victor Mono,monospace,"100;200;300;400;500;600;700",italic-code,"italic;cursive-comments;distinctive","Code with italic comments;Developer blogs",yes,"https://fonts.google.com/specimen/Victor+Mono"
75,Red Hat Mono,monospace,"300;400;500;600;700",enterprise-mono,"enterprise;open-source;readable","Enterprise dev tools;Open source projects",yes,"https://fonts.google.com/specimen/Red+Hat+Mono"
76,Overpass Mono,monospace,"300;400;500;600;700",highway-mono,"clean;American;readable","Government docs;Clean code display",yes,"https://fonts.google.com/specimen/Overpass+Mono"
77,Anonymous Pro,monospace,"400;700",programming-mono,"programming;clear;distinctive","Terminal;Code editors;Developer tools",no,"https://fonts.google.com/specimen/Anonymous+Pro"
78,Fraunces,serif,"100;200;300;400;500;600;700;800;900",quirky-display,"quirky;editorial;old-style","Creative brands;Artisanal;Editorial;Food/drink",yes,"https://fonts.google.com/specimen/Fraunces"
79,Lora,serif,"400;500;600;700",literary-elegant,"literary;elegant;readable","Long-form content;Blogs;Books;Editorial",yes,"https://fonts.google.com/specimen/Lora"
80,Cormorant Garamond,serif,"300;400;500;600;700",classic-elegant,"elegant;classic;refined","Luxury brands;Weddings;Wine;High-end print",yes,"https://fonts.google.com/specimen/Cormorant+Garamond"
81,Cormorant,serif,"300;400;500;600;700",display-serif,"display;elegant;high-contrast","Display headings;Luxury branding;Editorial",yes,"https://fonts.google.com/specimen/Cormorant"
82,EB Garamond,serif,"400;500;600;700;800",digital-garamond,"classic;literary;academic","Academic papers;Books;Literary magazines",yes,"https://fonts.google.com/specimen/EB+Garamond"
83,Noto Serif Display,serif,"100;200;300;400;500;600;700;800;900",universal-display-serif,"universal;multilingual;display","International publications;Display headings",yes,"https://fonts.google.com/specimen/Noto+Serif+Display"
84,Cardo,serif,"400;700",academic-classical,"academic;classical;scholarly","Academic;Classical;Library;Scholarly",no,"https://fonts.google.com/specimen/Cardo"
85,Spectral,serif,"200;300;400;500;600;700;800",scientific-text,"scientific;readable;scholarly","Research papers;Scientific journals;Academic",yes,"https://fonts.google.com/specimen/Spectral"
86,PT Serif,serif,"400;700",russian-serif,"classic;readable;multilingual","Russian language;Print;Traditional editorial",no,"https://fonts.google.com/specimen/PT+Serif"
87,Vollkorn,serif,"400;500;600;700;800;900",warm-book,"warm;literary;readable","Books;Long-form;Poetry;Artisanal branding",yes,"https://fonts.google.com/specimen/Vollkorn"
88,Libre Caslon Text,serif,"400;700",web-caslon,"classic;web-optimized;readable","Editorial;Traditional web typography",no,"https://fonts.google.com/specimen/Libre+Caslon+Text"
89,Zilla Slab,serif,"300;400;500;600;700",mozilla-slab,"slab;friendly;modern","Headlines;Mozilla-style;Tech branding",no,"https://fonts.google.com/specimen/Zilla+Slab"
90,Bodoni Moda,serif,"400;500;600;700;800;900",high-contrast-display,"high-contrast;dramatic;fashion","Fashion;Luxury;Magazine headers",yes,"https://fonts.google.com/specimen/Bodoni+Moda"
91,Atkinson Hyperlegible Next,sans-serif,"200;300;400;500;600;700;800",hyperlegible-v2,"accessible;clear;optimized","Accessibility;Government;Senior-focused;Inclusive",yes,"https://fonts.google.com/specimen/Atkinson+Hyperlegible+Next"
92,Lexend Deca,sans-serif,"100;200;300;400;500;600;700;800;900",readability-sans,"readable;accessible;optimized","Accessibility;Education;Reading apps",yes,"https://fonts.google.com/specimen/Lexend+Deca"
93,Lexend Mega,sans-serif,"100;200;300;400;500;600;700;800;900",wide-readable,"wide;readable;accessible","Presentations;Large displays;Accessibility",yes,"https://fonts.google.com/specimen/Lexend+Mega"
94,Lexend Peta,sans-serif,"100;200;300;400;500;600;700;800;900",ultra-wide-readable,"ultra-wide;readable;accessible","Signage;Large format;Accessibility",yes,"https://fonts.google.com/specimen/Lexend+Peta"
95,Inclusive Sans,sans-serif,"400;700",inclusive-design,"inclusive;accessible;legible","Accessibility;Government;Inclusive design",no,"https://fonts.google.com/specimen/Inclusive+Sans"
96,Gabarito,sans-serif,"400;500;600;700;800;900",friendly-bold,"friendly;bold;expressive","Marketing;Consumer;Bold headings",yes,"https://fonts.google.com/specimen/Gabarito"
97,Onest,sans-serif,"100;200;300;400;500;600;700;800;900",geometric-versatile,"geometric;modern;versatile","SaaS;Tech;General purpose UI",yes,"https://fonts.google.com/specimen/Onest"
98,Funnel Display,sans-serif,"300;400;500;600;700;800",display-funnel,"display;modern;sharp","Headlines;Marketing;Landing pages",yes,"https://fonts.google.com/specimen/Funnel+Display"
99,Funnel Sans,sans-serif,"300;400;500;600;700;800",text-funnel,"readable;modern;clean","Body text;UI elements;Paired with Funnel Display",yes,"https://fonts.google.com/specimen/Funnel+Sans"
100,Wix Madefor Display,sans-serif,"400;500;600;700;800",wix-display,"modern;display;clean","Website builders;Landing pages;Marketing",yes,"https://fonts.google.com/specimen/Wix+Madefor+Display"
101,Wix Madefor Text,sans-serif,"400;500;600;700;800",wix-text,"readable;web;optimized","Body text;Content sites;Blogs",yes,"https://fonts.google.com/specimen/Wix+Madefor+Text"
102,Hanken Grotesk,sans-serif,"100;200;300;400;500;600;700;800;900",hanken-modern,"modern;grotesk;clean","SaaS;Tech;Professional apps",yes,"https://fonts.google.com/specimen/Hanken+Grotesk"
103,Sofia Sans,sans-serif,"100;200;300;400;500;600;700;800;900",soft-geometric,"soft;geometric;modern","Consumer apps;Marketing;Friendly UI",yes,"https://fonts.google.com/specimen/Sofia+Sans"
104,Sofia Sans Condensed,sans-serif,"100;200;300;400;500;600;700;800;900",condensed-soft,"condensed;soft;efficient","Data-dense UI;Dashboards;Compact layouts",yes,"https://fonts.google.com/specimen/Sofia+Sans+Condensed"
105,Geologica,sans-serif,"100;200;300;400;500;600;700;800;900",geological-modern,"modern;variable;versatile","Tech;Science;Modern brands",yes,"https://fonts.google.com/specimen/Geologica"
106,Schibsted Grotesk,sans-serif,"400;500;600;700;800;900",nordic-grotesk,"nordic;clean;modern","News;Publishing;Scandinavian design",yes,"https://fonts.google.com/specimen/Schibsted+Grotesk"
107,Overpass,sans-serif,"100;200;300;400;500;600;700;800;900",american-highway,"government;readable;clean","Government;Transportation;Public signage",yes,"https://fonts.google.com/specimen/Overpass"
108,Be Vietnam Pro,sans-serif,"100;200;300;400;500;600;700;800;900",vietnam-modern,"modern;clean;geometric","SaaS;Tech;Asian-inspired modern design",yes,"https://fonts.google.com/specimen/Be+Vietnam+Pro"
109,Readex Pro,sans-serif,"200;300;400;500;600;700",bilingual-readable,"bilingual;arabic;readable","Arabic-Latin bilingual;International apps",yes,"https://fonts.google.com/specimen/Readex+Pro"
110,Noto Sans Display,sans-serif,"100;200;300;400;500;600;700;800;900",universal-display,"universal;display;multilingual","Multilingual headings;International apps",yes,"https://fonts.google.com/specimen/Noto+Sans+Display"
111,IBM Plex Sans,sans-serif,"100;200;300;400;500;600;700",ibm-professional,"professional;enterprise;clean","Enterprise;IBM ecosystem;Professional tools",yes,"https://fonts.google.com/specimen/IBM+Plex+Sans"
112,IBM Plex Serif,serif,"100;200;300;400;500;600;700",ibm-serif,"enterprise;editorial;professional","Enterprise editorial;IBM ecosystem;Reports",yes,"https://fonts.google.com/specimen/IBM+Plex+Serif"
113,PT Sans,sans-serif,"400;700",russian-sans,"clean;readable;multilingual","Russian language;Government;Public-facing",no,"https://fonts.google.com/specimen/PT+Sans"
114,Exo 2,sans-serif,"100;200;300;400;500;600;700;800;900",futuristic-geometric,"futuristic;geometric;tech","Sci-fi;Gaming;Technology;Futuristic brands",yes,"https://fonts.google.com/specimen/Exo+2"
115,Chakra Petch,sans-serif,"300;400;500;600;700",techno-angular,"techno;angular;futuristic","Gaming;Cyberpunk;Technology;Esports",yes,"https://fonts.google.com/specimen/Chakra+Petch"
116,Rajdhani,sans-serif,"300;400;500;600;700",geometric-condensed,"geometric;condensed;modern","Tech;Data display;Dashboard labels",no,"https://fonts.google.com/specimen/Rajdhani"
117,Orbitron,sans-serif,"400;500;600;700;800;900",space-geometric,"space;geometric;futuristic","Sci-fi;Space;Gaming;Futuristic displays",yes,"https://fonts.google.com/specimen/Orbitron"
118,Oxanium,sans-serif,"200;300;400;500;600;700;800",tech-rounded,"tech;rounded;futuristic","Gaming;Tech branding;Esports",yes,"https://fonts.google.com/specimen/Oxanium"
119,Titillium Web,sans-serif,"200;300;400;600;700;900",industrial-modern,"industrial;modern;European","Government;Automotive;Industrial design",no,"https://fonts.google.com/specimen/Titillium+Web"
120,Barlow Condensed,sans-serif,"100;200;300;400;500;600;700;800;900",condensed-industrial,"condensed;industrial;efficient","Data labels;Navigation;Space-efficient UI",yes,"https://fonts.google.com/specimen/Barlow+Condensed"
121,Barlow Semi Condensed,sans-serif,"100;200;300;400;500;600;700;800;900",semi-condensed-clean,"semi-condensed;clean;readable","Dashboards;Data tables;Compact body text",yes,"https://fonts.google.com/specimen/Barlow+Semi+Condensed"
122,Encode Sans,sans-serif,"100;200;300;400;500;600;700;800;900",versatile-encode,"versatile;clean;modern","General purpose;UI elements;Body text",yes,"https://fonts.google.com/specimen/Encode+Sans"
123,Encode Sans Condensed,sans-serif,"100;200;300;400;500;600;700;800;900",condensed-encode,"condensed;efficient;clean","Data tables;Compact UI;Labels",yes,"https://fonts.google.com/specimen/Encode+Sans+Condensed"
124,Tenor Sans,sans-serif,"400",classical-sans,"classical;elegant;minimal","Luxury;Fashion;Elegant minimal design",no,"https://fonts.google.com/specimen/Tenor+Sans"
125,Philosopher,sans-serif,"400;700",philosophical-elegant,"philosophical;elegant;distinctive","Academic;Philosophy;Art institutions",no,"https://fonts.google.com/specimen/Philosopher"
126,Cantarell,sans-serif,"400;700",gnome-humanist,"humanist;linux;readable","Linux/GNOME;Open source;Accessible UI",no,"https://fonts.google.com/specimen/Cantarell"
127,Catamaran,sans-serif,"100;200;300;400;500;600;700;800;900",tamil-modern,"modern;tamil;clean","Tamil bilingual;South Asian apps;Modern UI",yes,"https://fonts.google.com/specimen/Catamaran"
128,Hind,sans-serif,"300;400;500;600;700",devanagari-modern,"devanagari;modern;readable","Hindi bilingual;Indian apps;Government",no,"https://fonts.google.com/specimen/Hind"
129,Mukta,sans-serif,"200;300;400;500;600;700;800",devanagari-versatile,"devanagari;versatile;clean","Hindi apps;Indian market;Multilingual",no,"https://fonts.google.com/specimen/Mukta"
130,Maven Pro,sans-serif,"400;500;600;700;800;900",rounded-versatile,"rounded;versatile;modern","Consumer;Startup;Marketing materials",yes,"https://fonts.google.com/specimen/Maven+Pro"
131,Signika,sans-serif,"300;400;500;600;700",signage-friendly,"signage;legible;warm","Signage;Wayfinding;Public spaces",yes,"https://fonts.google.com/specimen/Signika"
132,Signika Negative,sans-serif,"300;400;500;600;700",signage-dark,"signage;dark-bg;legible","Dark UI signage;Dark mode labels;Navigation",yes,"https://fonts.google.com/specimen/Signika+Negative"
133,Asap,sans-serif,"100;200;300;400;500;600;700;800;900",rounded-practical,"rounded;practical;friendly","Consumer apps;Body text;Friendly UI",yes,"https://fonts.google.com/specimen/Asap"
134,Asap Condensed,sans-serif,"200;300;400;500;600;700;800;900",condensed-practical,"condensed;practical;efficient","Data-dense;Compact UI;Dashboard labels",yes,"https://fonts.google.com/specimen/Asap+Condensed"
135,Libre Franklin,sans-serif,"100;200;300;400;500;600;700;800;900",franklin-modern,"classic;modern;professional","News sites;Professional;General purpose",yes,"https://fonts.google.com/specimen/Libre+Franklin"
136,Syne,sans-serif,"400;500;600;700;800",art-experimental,"experimental;art;distinctive","Creative portfolios;Art;Experimental design",yes,"https://fonts.google.com/specimen/Syne"
137,Space Grotesk,sans-serif,"300;400;500;600;700",space-technical,"technical;futuristic;geometric","Crypto;AI;Developer tools;Tech brands",yes,"https://fonts.google.com/specimen/Space+Grotesk"
138,Sora,sans-serif,"100;200;300;400;500;600;700;800",futuristic-sans,"futuristic;clean;precise","Crypto;AI;Modern tech;Futuristic UI",yes,"https://fonts.google.com/specimen/Sora"
139,Manrope,sans-serif,"200;300;400;500;600;700;800",geometric-grotesk,"geometric;grotesk;modern","Tech;Fintech;SaaS;Modern products",yes,"https://fonts.google.com/specimen/Manrope"
140,Plus Jakarta Sans,sans-serif,"200;300;400;500;600;700;800",jakarta-rounded,"rounded;modern;clean","SaaS;Education;Consumer tech",yes,"https://fonts.google.com/specimen/Plus+Jakarta+Sans"
141,Albert Sans,sans-serif,"100;200;300;400;500;600;700;800;900",humanist-warm,"humanist;warm;friendly","Healthcare;Wellness;Friendly professional",yes,"https://fonts.google.com/specimen/Albert+Sans"
142,DM Sans,sans-serif,"100;200;300;400;500;600;700;800;900",dm-geometric,"geometric;friendly;clean","Startups;Marketing;Consumer apps",yes,"https://fonts.google.com/specimen/DM+Sans"
143,DM Serif Display,serif,"400",dm-display-serif,"display;elegant;contrast","Marketing headings;Luxury;Editorial titles",no,"https://fonts.google.com/specimen/DM+Serif+Display"
144,DM Serif Text,serif,"400",dm-text-serif,"readable;elegant;warm","Body text serif;Editorial;Book text",no,"https://fonts.google.com/specimen/DM+Serif+Text"
145,Newsreader,serif,"200;300;400;500;600;700;800",news-editorial,"editorial;news;digital","News websites;Magazines;Digital editorial",yes,"https://fonts.google.com/specimen/Newsreader"
146,Crimson Pro,serif,"200;300;400;500;600;700;800;900",refined-literary-serif,"refined;literary;scholarly","Academic;Publishing;Editorial",yes,"https://fonts.google.com/specimen/Crimson+Pro"
147,Crimson Text,serif,"400;600;700",classic-book,"classic;book;readable","Long-form reading;Books;Traditional editorial",no,"https://fonts.google.com/specimen/Crimson+Text"
148,Alegreya,serif,"400;500;600;700;800;900",calligraphic-serif,"calligraphic;warm;literary","Literature;Poetry;Books;Art publications",yes,"https://fonts.google.com/specimen/Alegreya"
149,Alegreya Sans,sans-serif,"100;300;400;500;700;800;900",calligraphic-sans,"calligraphic;humanist;warm","Paired with Alegreya;Literary body text",yes,"https://fonts.google.com/specimen/Alegreya+Sans"
150,Young Serif,serif,"400",friendly-serif,"friendly;warm;approachable","Blogs;Consumer brands;Friendly editorial",no,"https://fonts.google.com/specimen/Young+Serif"
151,Bricolage Grotesque,sans-serif,"200;300;400;500;600;700;800",quirky-grotesk,"quirky;distinctive;character","Creative;Branding;Startups;Editorial",yes,"https://fonts.google.com/specimen/Bricolage+Grotesque"
152,Figtree,sans-serif,"300;400;500;600;700;800;900",friendly-fig,"friendly;modern;open","SaaS;Consumer;Education;Friendly apps",yes,"https://fonts.google.com/specimen/Figtree"
153,Outfit,sans-serif,"100;200;300;400;500;600;700;800;900",balanced-outfit,"balanced;contemporary;clean","General purpose;Marketing;Product UI",yes,"https://fonts.google.com/specimen/Outfit"
154,Urbanist,sans-serif,"100;200;300;400;500;600;700;800;900",urban-geometric,"sharp;geometric;modern","Fintech;Tech;Premium products",yes,"https://fonts.google.com/specimen/Urbanist"
