id,category,issue,keywords,platform,description,do,dont,severity
27,client,State colocation,colocation;local;state;lift;global;scope,react,"Global state for local concerns causes unnecessary rerenders across the tree","Keep state as close as possible to where it's used — lift only when truly shared","Don't put form input state or UI toggles in global state management",critical
28,client,Context splitting,context;split;provider;consumer;rerender;selective,react,"A single large context causes all consumers to rerender on any value change","Split context by update frequency — separate static config from frequently changing state","Don't put rapidly changing values like mouse position in the same context as theme config",high
29,client,Virtual lists,virtualization;list;windowing;tanstack;large-dataset,react,"Rendering thousands of DOM nodes causes jank and high memory usage","Use TanStack Virtual or react-window for lists with more than 100 items","Don't render all list items into the DOM — virtualize any list that could grow large",critical
30,client,CSS-in-JS performance,css-in-js;styled;runtime;static;extract;zero-runtime,react,"Runtime CSS-in-JS inserts styles on every render adding main thread work","Use zero-runtime CSS-in-JS like vanilla-extract or CSS modules for performance","Don't use runtime styled-components in performance-critical render paths",high
31,client,Event handler optimization,event;handler;inline;delegation;bind;closure,react,"Creating new function references on every render causes child rerenders","Define handlers outside render or wrap with useCallback for stable references","Don't define inline arrow functions in JSX for components wrapped in React.memo",medium
32,client,Ref vs state,ref;useRef;state;render;mutable;dom,react,"Using state for values that don't affect rendering causes unnecessary rerenders","Use useRef for mutable values that don't need to trigger rerenders","Don't use useState for tracking intervals timers or previous values — use useRef",medium
33,rerender,Unnecessary rerenders,rerender;profiler;devtools;wasted;render-count,react,"Wasted rerenders accumulate and cause visible jank especially on lower-end devices","Use React DevTools Profiler to identify components that rerender without visible change","Don't ignore components that rerender on every parent update — investigate and fix",critical
34,rerender,State batching,batching;setState;flushSync;concurrent;automatic,react,"React 18 automatically batches state updates but some patterns break batching","Rely on automatic batching — group related state updates in event handlers","Don't use flushSync unless you specifically need synchronous DOM updates",medium
35,rerender,Derived state anti-patterns,derived;computed;useEffect;sync;redundant,react,"Using useEffect to sync state from props creates extra render cycles and bugs","Compute derived values during render or use useMemo for expensive derivations","Don't useEffect to set state based on other state or props — compute it inline",critical
36,rerender,Key prop optimization,key;reconciliation;list;identity;reset;unmount,react,"Incorrect key props cause unnecessary unmount-remount cycles or stale state","Use stable unique identifiers as keys — database IDs or content-derived keys","Don't use array index as key for lists that are filtered sorted or modified",high
37,rerender,Children as props pattern,children;composition;slot;rerender;stable,react,"Passing children as JSX prevents parent rerenders from affecting child subtree","Use children prop for content that shouldn't rerender when parent state changes","Don't inline complex JSX that could be passed as children to a wrapper component",medium
38,rerender,Compound components,compound;composition;implicit;state;parent-child,react,"Compound components share state implicitly avoiding prop drilling rerenders","Use compound component pattern with context for tightly coupled UI groups","Don't pass callbacks through 5 levels of props — use compound pattern or context",medium
39,rerender,Render props optimization,render-prop;function;closure;memoization;callback,react,"Render prop functions create new closures on every render breaking memoization","Memoize render prop callbacks or convert to compound component pattern","Don't pass inline render functions to memoized children — it defeats React.memo",medium
40,rerender,Concurrent features,concurrent;transition;useDeferredValue;startTransition;priority,react,"Concurrent features let React prioritize urgent updates over expensive ones","Use useTransition for expensive state updates and useDeferredValue for derived values","Don't wrap every state update in startTransition — only use for non-urgent updates",medium
41,testing,Performance testing,performance;test;benchmark;regression;ci;metric,react,"Performance regressions ship to production without automated performance testing","Add performance benchmarks for critical render paths and track in CI","Don't rely only on manual testing — automate performance regression detection",high
42,testing,Lighthouse CI,lighthouse;ci;score;audit;budget;threshold,react,"Lighthouse CI catches performance regressions before they reach production","Run Lighthouse CI on pull requests with score thresholds and size budgets","Don't skip Lighthouse checks — a single large dependency can tank your score",high
43,testing,Bundle size monitoring,bundle;size;limit;budget;ci;regression,react,"Bundle size creep happens gradually and is hard to notice without monitoring","Set bundle size budgets in CI and fail builds that exceed limits","Don't merge PRs that increase bundle size without justification and review",high
44,testing,Core Web Vitals tracking,cwv;lcp;fid;cls;inp;field-data;rum,react,"Lab metrics alone miss real-user performance issues across devices and networks","Track Core Web Vitals with real user monitoring using web-vitals library","Don't rely only on lab data — field metrics reveal actual user experience issues",critical
