id,category,guideline,priority,applies_to,rationale
24,feedback,Use skeleton screens over spinners for content loading,7,all,"Skeletons feel faster than spinners by setting layout expectations."
25,loading,Show skeleton shapes that match final content layout,8,all,"Matching skeletons to content layout prevents jarring layout shifts."
26,loading,Use progress bars for operations over 4 seconds,7,all,"Long operations need progress indication to prevent user abandonment."
27,loading,Add shimmer animation to skeletons for perceived speed,6,all,"Shimmer animation signals active loading and feels faster than static gray."
28,loading,Disable buttons and show spinners during form submission,8,all,"Prevents double-submission and gives clear processing feedback."
29,accessibility,Never convey information by color alone,9,all,"WCAG 1.4.1: colorblind users miss color-only status indicators."
30,accessibility,Provide text alternatives for all non-text content,9,all,"WCAG 1.1.1: screen readers need text descriptions for images and icons."
31,accessibility,Ensure all interactive elements are keyboard accessible,9,all,"WCAG 2.1.1: keyboard-only users must reach and operate all controls."
32,accessibility,Use ARIA labels for icon-only buttons,9,all,"Icon-only buttons are meaningless to screen readers without labels."
33,accessibility,Respect prefers-reduced-motion media query,8,all,"Vestibular disorders cause nausea from motion. Always provide reduced-motion."
34,accessibility,Maintain visible focus indicators on all focusable elements,9,all,"WCAG 2.4.7: keyboard users need to see where focus is."
35,accessibility,Use semantic HTML elements for page structure,8,all,"Semantic HTML provides free accessibility: nav main section header footer."
36,accessibility,Implement skip-to-content link as first focusable element,7,all,"Keyboard users should not tab through entire nav to reach content."
37,accessibility,Ensure 4.5:1 contrast ratio for body text,9,all,"WCAG 1.4.3: minimum contrast for readable text on all backgrounds."
38,accessibility,Ensure 3:1 contrast ratio for UI components,9,all,"WCAG 1.4.11: inputs borders and controls need adequate contrast."
39,layout,Use 4px base grid for spacing consistency,8,all,"4px grid ensures mathematical harmony and prevents arbitrary spacing."
40,layout,Limit content width to 1280px for readability,7,all,"Lines exceeding 75-80 characters per line reduce reading speed."
41,layout,Use 8-column grid on tablet and 4-column on mobile,7,responsive,"Column reduction maintains readability as viewport narrows."
42,layout,Add container padding that scales with viewport,7,responsive,"Clamp-based padding prevents content touching edges on any screen size."
43,layout,Stack horizontal layouts vertically on mobile,8,responsive,"Horizontal layouts must gracefully collapse for narrow viewports."
44,typography,Use 16px minimum for body text,8,all,"Sub-16px body text causes readability issues especially on mobile."
45,typography,Limit to 2-3 font families maximum,7,all,"More than 3 fonts creates visual chaos and hurts performance."
46,typography,Use fluid type scale with clamp() for responsive sizing,7,all,"Fluid type eliminates jarring size jumps between breakpoints."
47,typography,Maintain 1.5-1.6 line height for body text,8,all,"Adequate line height improves readability especially for long paragraphs."
48,typography,Use -0.01 to -0.02em letter-spacing for large headings,6,all,"Large text needs negative tracking to appear optically balanced."
49,color,Use semantic color tokens not raw hex values,8,all,"Semantic tokens enable theme switching and maintain consistency."
50,color,Define light and dark mode for every palette,8,all,"Users expect dark mode support. Both modes must pass WCAG."
51,color,Use brand-muted color for selected or active state backgrounds,7,all,"Muted brand color signals active state without overwhelming."
52,color,Reserve red for errors and destructive actions,8,all,"Red has strong error association. Using it decoratively causes confusion."
53,color,Use consistent semantic colors across all palettes,7,all,"Success=green Warning=amber Error=red Info=blue across all themes."
54,motion,Enter slower and exit faster,7,all,"Users need time to perceive entering elements. Exits can be quick."
55,motion,Nearby elements animate faster than distant ones,7,all,"Hover states 150ms. Modals from off-screen 400ms. Match physical distance."
56,motion,Use ease-out for entering elements and ease-in for exiting,7,all,"Ease-out decelerates into view naturally. Ease-in accelerates out."
57,motion,Limit stagger delay to 5-6 items maximum,6,all,"Staggering more than 6 items makes the sequence feel sluggish."
58,motion,Replace all animation with instant opacity for reduced-motion,8,all,"Reduced motion users should still see content appear via opacity."
59,patterns,Follow the proven homepage section order,7,landing-page,"Nav>Hero>Social-Proof>Features>Showcase>How-It-Works>Testimonials>Pricing>CTA>Footer"
60,patterns,Use card-based layouts for browseable content,7,ecommerce;portfolio,"Cards provide consistent scannable containers for repeated content."
61,patterns,Implement empty states for all data-dependent views,7,all,"Empty states guide users to take action rather than showing blank screens."
62,patterns,Place destructive settings in a red zone at page bottom,7,settings,"Physical separation and color coding prevent accidental destructive actions."
63,patterns,Use side navigation for apps with 5+ pages,7,dashboard;admin,"Side nav scales better than top nav for deep page hierarchies."
64,data-display,Use data tables for structured multi-column data,7,dashboard;admin,"Tables are the most efficient format for comparing structured data."
65,data-display,Provide sort and filter controls above data tables,7,dashboard;admin,"Users need to find specific data in large datasets quickly."
66,data-display,Use pagination for datasets over 50 rows,7,dashboard;admin,"Unpaginated large datasets cause performance and usability issues."
67,data-display,Show loading skeletons that match table layout,6,dashboard,"Table skeletons set expectations for data structure and prevent layout shift."
68,data-display,Highlight selected rows with brand-muted background,6,dashboard,"Subtle highlight makes selected items visually distinct without overwhelming."
69,mobile,Use bottom navigation for mobile apps with 3-5 top-level sections,8,mobile,"Bottom nav is within thumb reach and follows mobile platform conventions."
70,mobile,Make all interactive elements minimum 44px tap target,9,mobile,"WCAG touch target requirements prevent frustrating mis-taps."
71,mobile,Use sheet modals sliding from bottom on mobile,7,mobile,"Bottom sheets are more thumb-friendly than centered modals on mobile."
72,mobile,Collapse complex filters into a filter sheet on mobile,7,mobile;dashboard,"Filter panels don't fit mobile layouts — use expandable sheets."
73,mobile,Test touch interactions with real fingers not just cursor,8,mobile,"Mouse precision differs from finger precision. Always test on devices."
74,performance,Lazy-load images below the fold,8,landing-page;ecommerce,"Deferred image loading improves initial page load time."
75,performance,Use system fonts or limit to 2 Google Fonts,7,all,"Each font family adds 20-100KB. Minimize for performance."
76,performance,Inline critical CSS above the fold,7,landing-page,"Critical CSS inlining prevents render-blocking stylesheet requests."
77,performance,Aim for sub-2.5s Largest Contentful Paint,8,all,"Core Web Vital threshold for good user experience."
78,performance,Compress and serve images in WebP or AVIF format,7,all,"Modern formats reduce image sizes by 25-50% versus JPEG/PNG."
79,dark-mode,Override shadows with glow-border technique in dark mode,8,dark,"Standard shadows are invisible on dark backgrounds. Glow-borders provide visible elevation."
80,dark-mode,Use slightly elevated background colors for depth not shadow,7,dark,"Dark mode depth comes from surface color variation not shadow opacity."
81,dark-mode,Reduce image brightness and saturation in dark mode to prevent glare,7,dark,"Full-brightness images on dark backgrounds create harsh contrast and eye strain."
82,dark-mode,Provide a system-preference-aware toggle defaulting to OS preference,8,all,"Users expect dark mode to follow their OS setting via prefers-color-scheme media query."
83,loading,Use skeleton screens shaped to match the actual content layout,8,all,"Content-shaped skeletons set accurate expectations and reduce perceived load time by 30%."
84,loading,Show progressive loading for heavy pages — header first then content,7,all,"Progressive rendering gives users something to see immediately while the rest loads."
85,error-states,Show inline validation errors immediately below the invalid field,8,all,"Errors placed near the source are found 3x faster than summary-only error messages."
86,error-states,Use constructive error messages that suggest how to fix the problem,8,all,"'Password must be 8+ characters' is actionable. 'Invalid input' is not."
87,error-states,Preserve user input when displaying errors — never clear the form,9,all,"Clearing form data on error forces users to re-enter everything causing abandonment."
88,empty-states,Include a clear call-to-action in empty states not just a message,8,all,"Empty states are onboarding opportunities. Guide users to their first action."
89,empty-states,Use illustrations or icons in empty states to reduce visual emptiness,6,all,"Visual elements in empty states feel intentional rather than broken or unfinished."
90,micro-interactions,Add subtle hover state transitions at 150ms for interactive elements,7,all,"150ms transitions feel responsive. Longer feels sluggish. Shorter feels jarring."
91,micro-interactions,Animate button press with a slight scale-down for tactile feedback,6,all,"Scale(0.97) on active gives physical press sensation on screen elements."
92,progressive-disclosure,Hide advanced options behind an expandable section or toggle,7,all,"Progressive disclosure reduces initial complexity while keeping power-user features accessible."
93,progressive-disclosure,Show only 3-5 options initially then reveal more with a show-more control,7,all,"Fewer initial options speed decision-making. Hick's Law: time increases with choices."
94,touch-targets,Space touch targets at least 8px apart to prevent accidental taps,8,mobile,"Adjacent touch targets need padding to prevent mis-taps on touchscreens."
95,touch-targets,Place destructive actions away from frequently used controls on mobile,8,mobile,"Physical separation prevents accidental destructive taps during routine mobile interactions."
96,gestures,Support swipe-to-delete with a visible undo option for 5 seconds,7,mobile,"Swipe gestures need undo safety nets since they're easy to trigger accidentally."
97,voice-ui,Provide visual feedback during voice input to confirm the system is listening,8,all,"Users need confirmation that voice input is active to avoid talking to nothing."
98,ai-interfaces,Show confidence levels or source attribution for AI-generated content,7,all,"Users need transparency about AI output reliability to make informed decisions."
99,ai-interfaces,Provide easy editing controls for AI-generated suggestions,7,all,"AI output should be a starting point not a final answer — make editing frictionless."
100,data-tables,Pin the first column and header row in scrollable data tables,7,dashboard;admin,"Pinned headers and ID columns maintain context while scrolling large datasets."
101,data-tables,Provide column resize handles and a density toggle for data tables,6,dashboard;admin,"Users have different density preferences. Let them adjust row height and column widths."
102,dashboard-density,Offer compact normal and comfortable density modes for dashboards,7,dashboard,"Power users prefer dense views. New users prefer comfortable spacing."
103,notifications,Group related notifications and allow batch dismiss,7,all,"Notification grouping prevents inbox overload and reduces dismissal fatigue."
104,notifications,Use different notification urgency levels with distinct visual treatments,8,all,"Critical alerts need red and persistent display. Info can be subtle and auto-dismiss."
105,onboarding,Limit onboarding to 3-5 steps with a skip option and progress indicator,8,all,"Long onboarding causes 60% drop-off. Short focused flows with skip improve completion."
106,onboarding,Use contextual tooltips on first use instead of upfront tutorials,7,all,"In-context guidance at point-of-use is retained 5x better than upfront tutorials."
107,search,Show search suggestions after 2+ characters with debounced 300ms delay,7,all,"Instant suggestions improve findability. Debouncing prevents excessive API calls."
108,search,Display recent searches and popular queries in empty search state,6,all,"Recent and popular suggestions reduce typing effort and inspire discovery."
109,pagination,Use infinite scroll for browsing feeds and pagination for search results,7,all,"Feeds benefit from continuous scrolling. Search results need page-based navigation for findability."
110,responsive-images,Serve responsive images with srcset and appropriate sizes attribute,7,all,"Different viewport sizes need different image resolutions to save bandwidth and load time."
111,form-validation,Validate email format on blur and check availability on submit,7,all,"Format validation on blur gives immediate feedback without premature availability checks."
112,form-validation,Show password requirements as a checklist that updates in real-time,7,authentication,"Real-time requirement checklists are 40% more effective than post-submit error messages."
113,cookies,Place cookie consent in a non-blocking bottom banner with clear reject option,7,all,"Non-blocking banners respect user flow. Easy reject respects privacy regulations and user trust."
114,keyboard-shortcuts,Display keyboard shortcut hints in tooltips and provide a shortcut reference modal,6,dashboard;admin,"Keyboard shortcuts increase power-user efficiency 40% when discoverable through tooltips."
