id,condition,field,operator,value,then_field,then_value,priority,reasoning,category
83,color,sector,equals,food,color_constraint,use-warm-tones,7,"Food products benefit from warm appetizing color palettes",sector-color
84,color,sector,equals,wellness,color_constraint,use-nature-tones,7,"Wellness products use natural calming green and earth tones",sector-color
85,color,sector,equals,kids,color_constraint,use-bright-primary,7,"Children's products benefit from bright primary colors",sector-color
86,shadow,palette,equals,ai-futuristic,shadow_style,glow-border,8,"Dark themes need glow-border shadows since dark shadows are invisible",palette-shadow
87,shadow,palette,equals,corporate,shadow_style,conservative-subtle,7,"Corporate palettes use subtle restrained shadow",palette-shadow
88,shadow,palette,equals,bold-lifestyle,shadow_style,none-or-hard,7,"Brutalist palettes avoid soft shadows — use none or hard offset",palette-shadow
89,shadow,palette,equals,apple-minimal,shadow_style,smooth-diffused,8,"Apple-style palettes use smooth highly diffused shadows",palette-shadow
90,shadow,palette,equals,illustration,shadow_style,soft-warm,6,"Illustration palettes use soft warm-toned shadows",palette-shadow
91,radius,palette,equals,bold-lifestyle,radius_style,sharp-0px,9,"Brutalist palette uses 0px radius for stark angular feel",palette-radius
92,radius,palette,equals,illustration,radius_style,rounded-large,8,"Illustration palette uses large radii for friendly feel",palette-radius
93,radius,palette,equals,corporate,radius_style,small-conservative,7,"Corporate palette uses small conservative radii",palette-radius
94,radius,palette,equals,ai-futuristic,radius_style,small-sharp,7,"AI Futuristic uses small radii for technical precise feel",palette-radius
95,radius,palette,equals,apple-minimal,radius_style,smooth-medium,8,"Apple palette uses smooth medium radii for refined feel",palette-radius
96,layout,product_type,equals,landing-page,layout_type,single-column-sections,7,"Landing pages use full-width stacked sections",product-layout
97,layout,product_type,equals,dashboard,layout_type,sidebar-content,8,"Dashboards use sidebar plus content area layout",product-layout
98,layout,product_type,equals,blog,layout_type,narrow-content,7,"Blogs use narrow centered content column",product-layout
99,layout,product_type,equals,ecommerce,layout_type,grid-browsing,7,"E-commerce uses grid layouts for product browsing",product-layout
100,layout,product_type,equals,documentation,layout_type,sidebar-content,7,"Documentation uses sidebar navigation with content area",product-layout
101,contrast,theme_mode,equals,dark,contrast_requirement,glow-borders,8,"Dark mode requires glow-border technique for visible elevation",theme-contrast
102,contrast,theme_mode,equals,light,contrast_requirement,standard-shadow,6,"Light mode uses standard drop shadow for elevation",theme-contrast
103,responsive,product_type,equals,dashboard,mobile_strategy,collapse-sidebar,8,"Dashboard sidebars collapse to icons then off-canvas on mobile",responsive
104,responsive,product_type,equals,landing-page,mobile_strategy,stack-sections,7,"Landing page sections stack vertically on mobile",responsive
105,responsive,product_type,equals,data-table,mobile_strategy,card-transform,8,"Data tables transform to card layouts on mobile",responsive
106,performance,product_type,equals,landing-page,performance_target,lcp-2.5s,8,"Landing pages must achieve sub-2.5s LCP",performance
107,performance,product_type,equals,ecommerce,performance_target,lcp-2.0s,9,"E-commerce has strict performance requirements for conversion",performance
108,performance,sector,equals,finance,performance_target,lcp-2.0s,8,"Financial products need fast reliable performance",performance
109,icon,product_type,equals,dashboard,icon_style,line-16px,7,"Dashboards use 16px line icons for density",product-icon
110,icon,product_type,equals,landing-page,icon_style,filled-24px,6,"Landing pages use 24px filled icons for visual impact",product-icon
111,sector,sector,equals,crypto,palette,ai-futuristic,8,"Crypto platforms signal technical credibility and innovation with dark futuristic themes",sector-palette
112,sector,sector,equals,web3,palette,ai-futuristic,8,"Web3 products use dark immersive themes to convey decentralized technology",sector-palette
113,sector,sector,equals,defi,palette,ai-futuristic,8,"DeFi dashboards need technical dark interfaces for data-heavy trading displays",sector-palette
114,sector,sector,equals,iot,palette,dashboard,7,"IoT dashboards prioritize data density and real-time monitoring layouts",sector-palette
115,sector,sector,equals,gaming,palette,ai-futuristic,7,"Gaming platforms use immersive dark interfaces with neon accents for engagement",sector-palette
116,sector,sector,equals,esports,palette,ai-futuristic,8,"Esports platforms need high-energy dark themes with competitive visual language",sector-palette
117,sector,sector,equals,social-media,palette,minimal-saas,6,"Social platforms default to clean minimal to keep focus on user content",sector-palette
118,sector,sector,equals,real-estate,palette,minimal-corporate,7,"Real estate platforms need professional understated design to build buyer confidence",sector-palette
119,product,product_type,equals,telehealth,required_components,"button;input;modal;avatar;badge;tabs;toast;toggle",8,"Telehealth apps need video-call support components and patient interaction elements",product-component
120,product,product_type,equals,streaming,required_components,"button;feature-card;tabs;badge;avatar;modal;navigation;progress-indicator",7,"Streaming platforms need media browsing and playback control components",product-component
121,product,product_type,equals,marketplace,required_components,"feature-card;badge;pagination;input;select;modal;avatar;data-table;breadcrumb",8,"Marketplaces need product browsing search and transaction components",product-component
122,product,product_type,equals,community,required_components,"button;avatar;badge;tabs;input;toast;modal;dropdown;pagination",7,"Community platforms need user interaction and content discussion components",product-component
123,product,product_type,equals,portfolio,required_components,"hero;feature-card;navigation;footer;modal;button;testimonial",6,"Portfolio sites need visual showcase and contact conversion components",product-component
124,anti_pattern,sector,equals,crypto,anti_pattern,pastel-colors,8,"Crypto platforms using pastels signal lack of technical sophistication",sector-anti
125,anti_pattern,sector,equals,crypto,anti_pattern,playful-illustrations,7,"Playful illustrations undermine the serious financial nature of crypto trading",sector-anti
126,anti_pattern,sector,equals,web3,anti_pattern,corporate-conservative,7,"Web3 products should avoid traditional corporate aesthetics that contradict decentralization",sector-anti
127,anti_pattern,sector,equals,iot,anti_pattern,playful-animations,7,"IoT dashboards showing real-time data should not use distracting animations",sector-anti
128,anti_pattern,sector,equals,gaming,anti_pattern,corporate-styling,8,"Gaming platforms using corporate aesthetics alienate their core audience",sector-anti
129,anti_pattern,sector,equals,esports,anti_pattern,muted-colors,7,"Esports needs high-energy visuals and muted colors fail to generate excitement",sector-anti
130,anti_pattern,sector,equals,social-media,anti_pattern,data-dense,6,"Social platforms should not look like analytics dashboards to casual users",sector-anti
131,anti_pattern,sector,equals,real-estate,anti_pattern,neon-colors,7,"Real estate is a trust-based purchase and neon colors erode buyer confidence",sector-anti
132,responsive,product_type,equals,mobile-app,mobile_strategy,mobile-first,9,"Mobile apps must be designed mobile-first then scaled up for tablets",responsive
133,responsive,product_type,equals,streaming,mobile_strategy,adaptive-media,8,"Streaming platforms must adapt media player and grid layouts to screen size",responsive
134,responsive,product_type,equals,community,mobile_strategy,stack-cards,7,"Community content cards stack vertically on mobile for thumb scrolling",responsive
135,density,sector,equals,crypto,layout_density,dense,8,"Crypto trading interfaces maximize data visibility for price monitoring",sector-density
136,density,sector,equals,defi,layout_density,dense,8,"DeFi dashboards need dense layouts for yield and liquidity pool data",sector-density
137,density,sector,equals,social-media,layout_density,moderate,6,"Social platforms balance content density with comfortable scrolling",sector-density
138,density,sector,equals,real-estate,layout_density,moderate,6,"Real estate listings need balanced density for property card browsing",sector-density
139,motion,sector,equals,crypto,motion_level,minimal,8,"Crypto trading UIs should minimize animation to avoid distracting from price data",sector-motion
140,motion,sector,equals,social-media,motion_level,moderate,6,"Social platforms use moderate animations for engagement without overwhelming",sector-motion
141,motion,sector,equals,esports,motion_level,rich,7,"Esports platforms can use rich animations to match the competitive energy",sector-motion
142,color,sector,equals,crypto,color_constraint,use-neon-accents,7,"Crypto interfaces benefit from neon accent colors on dark backgrounds for data emphasis",sector-color
143,color,sector,equals,iot,color_constraint,use-status-colors,8,"IoT dashboards rely heavily on semantic status colors for device state indication",sector-color
144,color,sector,equals,gaming,color_constraint,use-vibrant-neon,6,"Gaming platforms use vibrant neon palettes for immersive visual experiences",sector-color
145,color,sector,equals,real-estate,color_constraint,use-neutral-warm,7,"Real estate benefits from warm neutral palettes that feel like home",sector-color
146,typography,sector,equals,crypto,font_preference,monospace-accent,7,"Crypto platforms use monospace for numerical data display and code elements",sector-typography
147,typography,sector,equals,social-media,font_preference,friendly-sans,6,"Social platforms use rounded friendly sans-serif for approachable feel",sector-typography
148,typography,sector,equals,gaming,font_preference,bold-technical,7,"Gaming platforms use bold technical fonts for competitive aggressive feel",sector-typography
149,performance,product_type,equals,streaming,performance_target,lcp-1.5s,9,"Streaming platforms need extremely fast load for media content delivery",performance
150,performance,product_type,equals,marketplace,performance_target,lcp-2.0s,8,"Marketplaces need fast product loading for browse-and-buy conversion",performance
151,performance,product_type,equals,community,performance_target,lcp-2.5s,7,"Community platforms need fast feed loading for engagement retention",performance
152,cross_cutting,preference,equals,dark-mode,palette_override,ai-futuristic,6,"Dark mode preference users benefit from AI futuristic dark-first palettes",cross-cutting
153,cross_cutting,preference,equals,mobile-first,touch_target,48px-minimum,9,"Mobile-first products must ensure all interactive elements meet 48px touch targets",cross-cutting
154,cross_cutting,data_type,equals,data-visualization,required_components,"data-table;tabs;badge;tooltip;progress-indicator",8,"Data visualization products require comprehensive data display components",cross-cutting
155,cross_cutting,form_density,equals,form-heavy,layout_type,progressive-disclosure,8,"Form-heavy products should use progressive disclosure to reduce cognitive load",cross-cutting
156,performance,loading_strategy,equals,lazy-loading,pattern,skeleton-first,7,"Lazy-loaded content should show skeleton states before actual content appears",performance
157,performance,loading_strategy,equals,skeleton-states,animation,shimmer-pulse,6,"Skeleton states should use shimmer animation to indicate active loading",performance
158,performance,data_volume,equals,large-dataset,pagination_type,cursor-pagination,8,"Large datasets should use cursor-based pagination for consistent performance",performance
159,performance,data_volume,equals,moderate-dataset,pagination_type,offset-pagination,6,"Moderate datasets can use traditional offset pagination with page numbers",performance
160,performance,content_type,equals,feed,scroll_type,infinite-scroll,6,"Social feeds and content streams benefit from infinite scroll for engagement",performance
161,performance,content_type,equals,catalog,scroll_type,paginated,7,"Product catalogs and search results should use pagination for findability",performance
162,layout,product_type,equals,telehealth,layout_type,split-panel,7,"Telehealth apps use split-panel layouts for video call plus notes",product-layout
163,layout,product_type,equals,streaming,layout_type,grid-media,7,"Streaming platforms use media grid layouts for content discovery",product-layout
164,layout,product_type,equals,community,layout_type,feed-sidebar,6,"Community platforms use feed-with-sidebar layouts for content and context",product-layout
165,layout,product_type,equals,marketplace,layout_type,grid-browsing,7,"Marketplace platforms use product grid layouts with filter sidebars",product-layout
166,transition,sector,equals,luxury,transition_style,elegant,7,"Luxury brands benefit from smooth elegant transitions that convey premium feel",sector-transition
167,transition,sector,equals,dashboard,transition_style,instant,7,"Dashboard UIs use instant transitions to avoid slowing down data-dense workflows",sector-transition
168,transition,sector,equals,healthcare,transition_style,gentle,7,"Healthcare interfaces use gentle transitions to maintain calm user experience",sector-transition
169,transition,sector,equals,finance,transition_style,snappy,7,"Finance UIs use snappy transitions for responsive data-driven interactions",sector-transition
170,transition,sector,equals,entertainment,transition_style,elegant,6,"Entertainment platforms use elegant transitions for immersive visual experiences",sector-transition
171,component,product_type,equals,admin-panel,required_components,"data-table;tabs;badge;side-navigation;drawer;alert-dialog;combobox",8,"Admin panels need data management components with confirmation dialogs and advanced selection",product-component
172,component,product_type,equals,documentation,required_components,"code-block;tabs;breadcrumb;side-navigation;accordion;command-palette;tree-view",8,"Documentation sites need content navigation hierarchy and code display components",product-component
173,component,product_type,equals,mobile-app,required_components,"button;input;modal;toast;tabs;toggle;drawer;stepper;otp-input",8,"Mobile apps need touch-friendly interaction components with progressive flows",product-component
174,component,form_density,equals,form-heavy,required_components,"input;select;checkbox;radio;alert;combobox;date-picker;file-upload;stepper",8,"Form-heavy products need comprehensive form controls for data collection workflows",cross-cutting
175,component,data_type,equals,data-heavy,required_components,"skeleton;progress-indicator;pagination;data-table;toast",7,"Data-heavy products need loading states and data navigation components",cross-cutting
176,component,sector,equals,devtools,required_components,"code-block;command-palette;tabs;drawer;popover;toolbar;tree-view;segmented-control",8,"Developer tools need code-centric components with keyboard-first navigation",sector-component
177,component,sector,equals,finance,required_components,"data-table;alert-dialog;stepper;otp-input;combobox;badge;tabs",8,"Finance products need secure verification flows and confirmation dialogs for transactions",sector-component
178,component,sector,equals,healthcare,required_components,"stepper;alert;checkbox;radio;date-picker;file-upload;skeleton",7,"Healthcare products need multi-step intake forms with document upload capabilities",sector-component
179,component,sector,equals,ecommerce,required_components,"carousel;pricing-table;skeleton;stepper;drawer;badge;pagination",7,"E-commerce products need product browsing components with loading states and checkout flows",sector-component
180,component,sector,equals,crypto,required_components,"data-table;alert-dialog;otp-input;skeleton;drawer;code-block",8,"Crypto platforms need secure transaction confirmations with real-time data loading states",sector-component
181,component,product_type,equals,booking,required_components,"date-picker;stepper;select;modal;alert-dialog;skeleton",7,"Booking products need date selection with multi-step reservation confirmation flows",product-component
182,component,product_type,equals,social-app,required_components,"chip-input;file-upload;popover;carousel;skeleton;otp-input",7,"Social apps need content creation components with verification and media upload",product-component
183,component,product_type,equals,editor,required_components,"toolbar;command-palette;popover;tree-view;code-block;drawer",7,"Editor products need formatting toolbars with file navigation and command access",product-component
184,component,product_type,equals,onboarding,required_components,"stepper;checkbox;radio;otp-input;progress-indicator;alert",7,"Onboarding flows need step-by-step progression with verification and selection controls",product-component
185,component,product_type,equals,crm,required_components,"data-table;combobox;chip-input;drawer;date-picker;skeleton",8,"CRM products need advanced filtering with relationship tagging and loading states",product-component
186,component,product_type,equals,productivity,required_components,"toolbar;command-palette;drawer;segmented-control;skeleton;popover",7,"Productivity tools need keyboard-first command access with quick navigation panels",product-component
187,component,product_type,equals,analytics,required_components,"data-table;skeleton;popover;segmented-control;date-picker;tooltip",8,"Analytics products need data visualization support with loading states and date filtering",product-component
188,cross_cutting,content_type,equals,marketing,required_components,"carousel;pricing-table;testimonial;social-proof;hero",7,"Marketing content needs conversion-optimized components for social proof and pricing",cross-cutting
189,cross_cutting,interaction,equals,destructive-actions,required_components,"alert-dialog;alert;toast",8,"Destructive action flows require explicit confirmation dialogs and feedback notifications",cross-cutting
190,cross_cutting,interaction,equals,keyboard-first,required_components,"command-palette;toolbar;popover;tree-view;combobox",7,"Keyboard-first interfaces need command access and navigable hierarchical components",cross-cutting
