id,name,slug,category,variants,sizes,states,props,accessibility,use_when,dont_use_when,css_class,container_query,min_target_size,lifecycle_stage
58,Empty,empty,data-display,default;compact,standard,default,title;description;action;illustration,role=status or region;heading,Empty state with optional action,Loading — use Skeleton;Errors — use Alert,empty,no,0,stable
59,Image,image,data-display,default;rounded;thumbnail,sm;md;lg;full,default;loading;error,src;alt;fallback;loading,alt required;loading=lazy,Images with fallback and aspect ratio,Icons — use Icon;Decorative only,image,no,0,stable
60,Chip,chip,data-display,default;outlined;removable,sm;md,default;removing,label;onRemove;variant,aria-label Remove;button for remove,Standalone tag or filter chip,Input with chips — use Chip Input,chip,no,24,stable
61,Descriptions,descriptions,data-display,horizontal;vertical;bordered,standard,default,items[{label;value}];layout,Key-value list;dl or table,Key-value pairs display,Form layout — use Form + Input,descriptions,no,0,stable
62,Statistic,statistic,data-display,default;inline,sm;md;lg,default,value;label;prefix;suffix,Typography tokens;semantic number,Large number with label,Inline text — use Typography,statistic,no,0,stable
63,Timeline,timeline,data-display,default;compact,standard,default,items[{title;content;time}],Vertical list with connector;aria,Chronological items with optional time,Simple list — use List;Steps — use Stepper,timeline,no,0,stable
64,Aspect Ratio,aspect-ratio,layout,16:9;1:1;4:3;custom,standard,default,ratio;children,CSS aspect-ratio;padding fallback,Enforcing consistent media ratio,Free layout — use Box or Image,aspect-ratio,no,0,stable
65,Context Menu,context-menu,overlay,default,sm;md;lg,closed;open,items[];onSelect;trigger,role=menu;right-click;portal,Right-click menu,Click menu — use Dropdown,context-menu,no,24,stable
66,Popconfirm,popconfirm,overlay,default,sm;md,closed;open,title;description;onConfirm;onCancel;trigger,aria-describedby;focus trap,Confirm/cancel popover,Simple tooltip — use Tooltip;Full dialog — use Alert Dialog,popconfirm,no,24,stable
67,Notification,notification,feedback,top-right;top-left;bottom-right;bottom-left,sm;md;lg,visible;dismissed,items[];position;onDismiss,role=region;aria-label,Corner toast stack,Inline alerts — use Alert,notification,no,0,stable
68,Collapsible,collapsible,content,default,standard,closed;open,open;onOpenChange;trigger;content,aria-expanded;aria-controls,Single expand/collapse panel,Multiple panels — use Accordion,collapsible,no,24,stable
69,Icon,icon,content,default;outline;filled,sm(16px);md(24px);lg(32px),default,name;children;size;color,aria-hidden when decorative,Icon wrapper with size/color from tokens,Full images — use Image,icon,no,0,stable
70,Float Button,float-button,action,primary;extended,md(56px);lg(64px),default;hover,position;aria-label;onClick,Fixed position;aria-label,Floating action button,Mobile nav — use Bottom Navigation,float-button,no,24,stable
71,Menu,menu,navigation,horizontal;vertical,sm;md;lg,default;active,items[];orientation;activeItem,nav;role=menubar;menuitem,Menu bar of links/actions,Single dropdown — use Dropdown,menu,no,24,stable
72,Anchor,anchor,navigation,default,standard,default,items[{href;title}];smoothScroll,nav aria-label;in-page links,Smooth-scroll in-page link group,External links — use Link,anchor,no,24,stable
73,Login Form,login-form,form,default;with-social,standard,default;loading;error,title;description;onSubmit;onForgotPassword;onSignUp;socialProviders;loading;error;showRememberMe,form aria-label;label association;password type;autocomplete;aria-required;aria-invalid;aria-busy,Authentication flows;Login pages;Sign-in interfaces,In-app settings;Profile editing,login-form,no,24,stable
